title,amount,due date,link
"$2,000 PixelPlex Bi-Annual STEM Scholarship","$2,000 ",12/20/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/2000-pixelplex-bi-annual-stem-scholarship
4-H Youth in Action,"$5,000 ",10/21/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/4-h-youth-in-action
AACE International Competitive Scholarships,"$2,500 ",03/05/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/aace-international-competitive-scholarships
AAUW Return to Learning Scholarships,"$2,500 ",04/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/aauw-return-to-learning-scholarships
"ABC Humane Wildlife Control & Prevention, Inc. Academic Scholarship","$1,000 ",07/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/abc-humane-wildlife-control-and-prevention-inc-academic-scholarship
ACF Trythall Family Scholarship for Excellence in Continuing Education,"$3,000 ",06/07/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/acf-trythall-family-scholarship-for-excellence-in-continuing-education
ACF Woodcock Family Education Scholarship Program,"$10,000 ",04/04/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/acf-woodcock-family-education-scholarship-program
"AFCEA Washington, DC Chapter Scholarship","$12,000 ",05/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/afcea-washington-dc-chapter-scholarship
Alabama Student Grant Program,"$1,200 ",Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/alabama-student-grant-program
Alan Lucas Educational Scholarships,Varies ,04/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/alan-lucas-educational-scholarships
Apprentice Ecologist Scholarship,"$1,000 ",12/31/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/apprentice-ecologist-scholarship
AREMA Committee 5 - Track Scholarship,"$2,500 ",12/08/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/arema-committee-5-track-scholarship
AREMA Undergraduate and Graduate Scholarships,"$10,000 ",12/08/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/arema-undergraduate-and-graduate-scholarships
ARRL Charles Clarke Cordle Memorial Scholarship,"$1,000 ",01/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/arrl-charles-clarke-cordle-memorial-scholarship
ASNT Fellowship Award,"$20,000 ",10/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/asnt-fellowship-award
Association of Women Contractors Scholarship,"$2,000 ",04/30/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/association-of-women-contractors-scholarship
B.A. Rudolph Foundation STEM Scholarship,"$4,800 ",04/04/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/b-a-rudolph-foundation-stem-scholarship
BAFTX Graduate Award,Varies ,03/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/baftx-graduate-award
Banatao Family Filipino American Education Fund,"$20,000 ",02/23/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/banatao-family-filipino-american-education-fund
Bill H. James Foundation for Aspiring African American Engineers,Varies ,04/30/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/bill-h-james-foundation-for-aspiring-african-american-engineers
Blacks at Microsoft Scholarship ,"$20,000 ",03/08/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/blacks-at-microsoft-scholarship
BMW/SAE Engineering Scholarship,"$6,000 ",03/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/bmw-sae-engineering-scholarship
Builders League of South Jersey Scholarship Foundation,"$2,000 ",04/30/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/builders-league-of-south-jersey-scholarship-foundation
Byham's Insurance Services Scholarships ,$750 ,04/20/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/byhams-insurance-services-scholarships
Cameron Impact Scholarship,"$50,000 ",09/13/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/cameron-impact-scholarship
Cancer for College Ross Skelton Memorial Scholarship ,"$5,000 ",01/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/cancer-for-college-ross-skelton-memorial-scholarship
CGCS- Bernard Harris Scholarship Program,"$5,000 ",04/12/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/cgcsbernard-harris-scholarship-program
Chicago Engineers' Foundation Incentive Award,"$1,000 ",04/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/chicago-engineers-foundation-incentive-award
CMAA Mid-Atlantic Chapter Scholarship,"$3,000 ",03/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/cmaa-mid-atlantic-chapter-scholarship
Committee 14 - Yards & Terminals Scholarship,"$1,500 ",12/22/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/committee-14-yards-and-terminals-scholarship
Connecticut Building Congress Scholarships,Varies ,03/08/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/connecticut-building-congress-scholarships
Davidson Fellows Scholarship,"$50,000 ",02/13/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/davidson-fellows-scholarship
Davis Memorial Scholarship,"$5,000 ",04/12/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/davis-memorial-scholarship
Diversity STEM Scholarships,"$2,000 ",05/10/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/diversity-stem-scholarships
Donald White/Mandla A. Ndwanya Memorial Fund Scholarship and Internship in South Africa,"$1,000 ",Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/donald-white-mandla-a-ndwanya-memorial-fund-scholarship-and-internship-in-south-africa
